Tempo;acao.AcaoArrumar;acao.AcaoDesarrumar;acao.AcaoLimpar;acao.AcaoSujar;
0;15.0;15.0;60.0;10.0
156922;15;15;60;10;
157735;15;15;60;10;
158344;15;15;60;10;
158969;15;15;60;10;
159782;15;15;60;10;
160391;15;15;60;10;
161000;15;15;60;10;
241469;15;15;60;10;
242078;15;15;60;10;
242688;15;15;60;10;
244110;15;15;60;10;
244907;15;15;60;10;
245516;15;15;60;10;
246938;15;15;60;10;
248360;15;15;60;10;
249766;15;15;60;10;
250578;15;15;60;10;
251188;15;15;60;10;
253500;15;15;60;10;
254110;15;15;60;10;
254719;15;15;60;10;
409297;15;15;60;10;
409907;15;15;60;10;
411328;15;15;60;10;
412735;15;15;60;10;
414157;15;15;60;10;
414969;15;15;60;10;
415578;15;15;60;10;
416188;15;15;60;10;
417610;15;15;60;10;
418422;15;15;60;10;
419032;15;15;60;10;
439188;15;15;60;10;
440000;15;15;60;10;
440813;15;15;60;10;
534969;15;15;60;10;
535985;15;15;60;10;
536594;15;15;60;10;
537188;15;15;60;10;
538610;15;15;60;10;
726157;15;15;60;10;
727563;15;15;60;10;
728172;15;15;60;10;
728782;15;15;60;10;
730203;15;15;60;10;
735657;15;15;60;10;
737078;15;15;60;10;
738688;15;15;60;10;
739297;15;15;60;10;
740719;15;15;60;10;
741532;15;15;60;10;
742141;15;15;60;10;
749828;15;15;60;10;
755907;15;15;60;10;
758344;15;15;60;10;
