Tempo;acao.AcaoArrumar;acao.AcaoDesarrumar;acao.AcaoLimpar;acao.AcaoSujar;
0;25.0;25.0;25.0;25.0
156828;26,7857;17,8571;28,5714;26,7857;
157438;27,6786;14,2857;30,3571;27,6786;
159641;28,125;12,5;31,25;28,125;
160266;28,3482;11,6071;31,6964;28,3482;
160875;28,4598;11,1607;31,9196;28,4598;
241157;28,0597;13,0272;34,0449;24,8682;
241766;27,8596;13,9604;35,1076;23,0724;
242375;27,7596;14,427;35,6389;22,1745;
243797;27,7096;14,6603;35,9046;21,7255;
248219;27,7096;14,6603;35,9046;21,7255;
248828;27,7096;14,6603;35,9046;21,7255;
249438;27,7096;14,6603;35,9046;21,7255;
250844;27,7096;14,6603;35,9046;21,7255;
408563;27,7096;14,6603;35,9046;21,7255;
409188;27,7096;14,6603;35,9046;21,7255;
410594;27,7096;14,6603;35,9046;21,7255;
411610;27,7096;14,6603;35,9046;21,7255;
413032;27,7096;14,6603;35,9046;21,7255;
413828;27,7096;14,6603;35,9046;21,7255;
414438;27,7096;14,6603;35,9046;21,7255;
415063;27,7096;14,6603;35,9046;21,7255;
415672;27,7096;14,6603;35,9046;21,7255;
416485;27,7096;14,6603;35,9046;21,7255;
417891;27,7096;14,6603;35,9046;21,7255;
725438;27,7096;14,6603;35,9046;21,7255;
726860;27,7096;14,6603;35,9046;21,7255;
734500;27,7096;14,6603;35,9046;21,7255;
736657;27,7096;14,6603;35,9046;21,7255;
737266;27,7096;14,6603;35,9046;21,7255;
738703;27,7096;14,6603;35,9046;21,7255;
749969;27,7096;14,6603;35,9046;21,7255;
